train_loss,train_acc,val_loss,val_acc
0.7169783801676904,0.7601360929968812,0.6917744054576087,0.7568306010928961
0.4055617185838168,0.8578111709668274,0.5883994549105728,0.796448087431694
0.31218760704179643,0.893252055571307,0.5687133211494917,0.8128415300546448
0.2703804880832693,0.9095548624893678,0.594909189108637,0.8073770491803278
0.2388264356877603,0.9180606747944429,0.5030296340080924,0.825136612021858
0.1973931635612464,0.9345052452509215,0.6307157648503373,0.7991803278688525
0.18824290514397898,0.935214062943011,0.5316396576423666,0.8292349726775956
0.17078323353547734,0.940601077402892,0.5096044969678821,0.8319672131147541
0.1454297560054586,0.9488233626311313,0.5526974948499698,0.8312841530054644
0.11352514447382939,0.9628579529345053,0.4919154552406952,0.8408469945355191
0.08743480285975543,0.9712220017011625,0.5555298563940297,0.842896174863388
0.08005117062454964,0.9747660901616104,0.5330940523653042,0.8422131147540983
0.07602547874887029,0.9751913807768642,0.5417240821639371,0.8442622950819673
0.06857615223971412,0.9768925432378792,0.5468454625192887,0.8449453551912568
0.06302378674692348,0.9798695775446555,0.5650227523963552,0.8442622950819673
0.060764375796817774,0.9810036858519988,0.5371895725304474,0.8524590163934426
0.058018197839156,0.9828466118514319,0.5364000475023939,0.8483606557377049
0.06042046979284123,0.9815707400056706,0.5411455049790198,0.8476775956284153
0.06081925680095645,0.9802948681599093,0.5781964472001367,0.8449453551912568
